subject_id,unit_id,unit_label,exam_format,question,choices,answer_index,explanation,keywords,source,review_status
"earth_base","earth_base_01","地球のすがた","csat","エラトステネスが地球の周囲の長さを求めた際、利用した仮定として最も適当なものはどれか。","[""地球は完全な球体であり、太陽の光は平行に降り注ぐ"",""地球は完全な球体であり、太陽は地球を中心に公転している"",""地球は赤道方向に膨らんだ楕円体であり、太陽の光は平行に降り注ぐ"",""地球は極方向に膨らんだ楕円体であり、太陽の光は放射状に降り注ぐ""]","0","エラトステネスは、地球を完全な球体と仮定し、太陽から地球に届く光は平行な光線であると考えて、2地点間の距離と南中高度の差から地球の周囲の長さを計算した。","[""エラトステネス"",""地球の大きさ"",""完全な球体""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球の形は完全な球ではなく、自転による遠心力のため赤道方向に膨らんだ回転楕円体に近い。赤道半径を a、極半径を b としたとき、地球の偏平率を表す式として正しいものはどれか。","[""(a - b) / a"",""(a - b) / b"",""(b - a) / a"",""(b - a) / b""]","0","偏平率は、赤道半径 a と極半径 b の差を赤道半径 a で割った値 (a - b) / a で表される。地球の偏平率はおよそ 1/298 である。","[""地球楕円体"",""偏平率"",""赤道半径""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球の内部構造のうち、マントルを構成する主な岩石として最も適当なものはどれか。","[""かんらん岩"",""玄武岩"",""花崗岩"",""流紋岩""]","0","地球の体積の 約83% を占めるマントルは、主にかんらん岩などの密度が大きい岩石で構成されている。玄武岩は海洋地殻、花崗岩は大陸地殻上部の主な構成岩石である。","[""地球の内部構造"",""マントル"",""かんらん岩""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球の地表の高度と海面の深度の面積割合を示す高度・深度曲線には、2つの大きなピークがみられる。これらのピークが示す地形の組み合わせとして最も適当なものはどれか。","[""大陸の平野と深海底"",""高い山脈と大陸棚"",""高い山脈と深海底"",""大陸の平野と海溝""]","0","地球の高度・深度曲線には、標高 0m から 1000m 付近の大陸の平野と、水深 4000m から 5000m 付近の深海底の2つの大きなピークがある。これは密度の異なる大陸地殻と海洋地殻が存在するためである。","[""高度・深度曲線"",""大陸地殻"",""海洋地殻""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","大陸地殻と海洋地殻の特徴の比較として、最も適当なものはどれか。","[""大陸地殻のほうが海洋地殻より厚く、密度が大きい。"",""大陸地殻のほうが海洋地殻より厚く、密度が小さい。"",""大陸地殻のほうが海洋地殻より薄く、密度が大きい。"",""大陸地殻のほうが海洋地殻より薄く、密度が小さい。""]","1","大陸地殻は厚さ平均 約30km から 50km で主に花崗岩質の岩石からなり、密度は 約2.7g/cm³ である。一方、海洋地殻は厚さ平均 約5km から 7km で主に玄武岩質の岩石からなり、密度は 約3.0g/cm³ である。したがって、大陸地殻のほうが厚く、密度は小さい。","[""大陸地殻"",""海洋地殻"",""密度""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球の核に関する説明として、最も適当なものはどれか。","[""主に鉄やニッケルなどの金属からなり、外核は液体、内核は固体である。"",""主に鉄やニッケルなどの金属からなり、外核は固体、内核は液体である。"",""主にケイ酸塩鉱物からなり、外核は液体、内核は固体である。"",""主にケイ酸塩鉱物からなり、外核は固体、内核は液体である。""]","0","地球の中心部にある核は、主に鉄やニッケルなどの金属元素から構成されている。地震波の観測により、S波が伝わらない外核は液体、内核は固体であると考えられている。","[""核"",""外核"",""内核"",""地震波""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球内部の地殻とマントルの境界を示す不連続面の名称として正しいものはどれか。","[""モホロビチッチ不連続面"",""グーテンベルク不連続面"",""レーマン不連続面"",""コンラッド不連続面""]","0","地殻とマントルの境界はモホロビチッチ不連続面（モホ面）と呼ばれる。マントルと外核の境界はグーテンベルク不連続面、外核と内核の境界はレーマン不連続面である。","[""モホロビチッチ不連続面"",""地殻"",""マントル""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","震央から角距離でおよそ 103度 から 143度 の間には、P波もS波も直接到達しない領域がある。この領域の名称として最も適当なものはどれか。","[""シャドーゾーン"",""アセノスフェア"",""沈み込み帯"",""トランスフォーム断層""]","0","地震波が直接到達しない領域をシャドーゾーン（影の帯）という。これは、深さ 約2900km にあるマントルと外核の境界で地震波が大きく屈折するため生じる。","[""シャドーゾーン"",""地震波"",""グーテンベルク不連続面""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","プレートテクトニクスにおける「プレート」を説明した文として、最も適当なものはどれか。","[""地殻と上部マントルの一部を含む、厚さ 約100km の硬い岩石の層である。"",""地殻のみからなる、厚さ 約30km の硬い岩石の層である。"",""マントル全体を含む、ゆっくりと対流している岩石の層である。"",""上部マントルの一部で、部分溶融しており流動性に富む層である。""]","0","プレート（リソスフェアまたは岩石圏）は、地殻と上部マントルの最上部を合わせた厚さ 約100km の硬い岩石の層である。その下には流動性に富むアセノスフェアが存在する。","[""プレート"",""リソスフェア"",""アセノスフェア""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","マントル内部の大規模な対流運動において、核とマントルの境界付近から上昇する高温の円柱状の流れを何というか。","[""ホットプルーム"",""コールドプルーム"",""マグマだまり"",""中央海嶺""]","0","核とマントルの境界付近から上昇する高温の物質の流れをホットプルームと呼ぶ。一方、沈み込んだプレートがマントル下部へ落下していく低温の流れをコールドプルームと呼ぶ。これによる地球内部の変動をプルームテクトニクスという。","[""ホットプルーム"",""プルームテクトニクス"",""マントル対流""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","プレートが互いに遠ざかり、新しい海洋地殻が生成されている境界の地形として、最も適当なものはどれか。","[""海嶺"",""海溝"",""島弧"",""大山脈""]","0","プレートが互いに遠ざかる発散境界では、地下からマグマが上昇して新しいプレート（海洋地殻）が生成される。この海底の大山脈を海嶺と呼ぶ。","[""発散境界"",""海嶺"",""プレートテクトニクス""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","海洋プレートが大陸プレートの下に沈み込んでいる境界にみられる、海底の細長い凹地の地形として、最も適当なものはどれか。","[""海溝"",""海嶺"",""トランスフォーム断層"",""地溝""]","0","海洋プレートが沈み込む場所には、水深が深く細長い凹地である海溝が形成される。日本海溝やマリアナ海溝などがその例であり、プレートの収束境界にあたる。","[""収束境界"",""海溝"",""沈み込み帯""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","プレート同士が互いにすれ違うように水平に動いている境界に発達する断層として、最も適当なものはどれか。","[""トランスフォーム断層"",""逆断層"",""正断層"",""スラスト断層""]","0","プレート同士がすれ違う境界では、トランスフォーム断層と呼ばれる巨大な横ずれ断層が形成される。北アメリカ大陸西海岸のサンアンドレアス断層がその代表的な例である。","[""すれ違う境界"",""トランスフォーム断層"",""横ずれ断層""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地殻がマントルの上に浮かんでおり、全体として重力の釣り合いが保たれているとする考え方を何というか。","[""アイソスタシー"",""プレートテクトニクス"",""プルームテクトニクス"",""大陸移動説""]","0","密度の小さい地殻が、密度の大きいマントル（アセノスフェア）の上に浮いて力学的な均衡を保っているという考え方をアイソスタシー（地殻均衡）という。","[""アイソスタシー"",""地殻均衡"",""重力""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","マグマの性質と火山の形に関する説明として、正しいものはどれか。","[""二酸化ケイ素の割合が多いマグマは粘性が小さく、傾斜のゆるやかな火山になりやすい。"",""二酸化ケイ素の割合が多いマグマは粘性が大きく、ドーム状の火山になりやすい。"",""二酸化ケイ素の割合が少ないマグマは粘性が大きく、傾斜のゆるやかな火山になりやすい。"",""二酸化ケイ素の割合が少ないマグマは粘性が小さく、ドーム状の火山になりやすい。""]","1","マグマに含まれる二酸化ケイ素 SiO₂ の割合が多いほど粘性は大きくなり、溶岩ドームのようなこんもりとした形の火山を形成しやすい。逆に SiO₂ が少ない玄武岩質マグマは粘性が小さく、楯状火山を形成しやすい。","[""マグマ"",""二酸化ケイ素"",""粘性"",""火山の形""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","火山の噴火によって放出される物質のうち、多量のガスが抜け出て多数の孔があいた黒っぽい火山砕屑物を何というか。","[""スコリア"",""軽石"",""火山灰"",""火山弾""]","0","多量のガスが抜けて孔があいた火山砕屑物のうち、玄武岩質や安山岩質で黒っぽいものをスコリアという。一方、流紋岩質などで白っぽいものを軽石と呼ぶ。","[""火山砕屑物"",""スコリア"",""軽石""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","マグマが地下深くでゆっくりと冷え固まってできた岩石の組織を何というか。","[""等粒状組織"",""斑状組織"",""流理構造"",""柱状節理""]","0","マグマが地下深くでゆっくりと冷却されると、構成する鉱物が十分に成長してほぼ同じ大きさの結晶となる。このような深成岩特有の組織を等粒状組織という。地表付近で急激に冷え固まった火山岩は斑状組織を示す。","[""深成岩"",""等粒状組織"",""火成岩""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地震の規模を表すマグニチュード M の値が 1 大きくなると、地震のエネルギーはおよそ何倍になるか。","["" 約32倍"","" 約10倍"","" 約100倍"","" 約1000倍""]","0","マグニチュード M が 1 大きくなると、地震のエネルギーは 約31.6倍（およそ 32倍）になる。また、M が 2 大きくなると 約1000倍 になる。","[""地震"",""マグニチュード"",""エネルギー""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地震計の記録において、P波の到達からS波が到達するまでの時間を初期微動継続時間という。この時間と震源からの距離の関係を利用して震源距離を求める公式を何というか。","[""大森公式"",""フックの法則"",""スネルの法則"",""ボイルの法則""]","0","初期微動継続時間は、震源からの距離に比例する。この関係を表した式を大森公式といい、d = k × t（d は震源距離、t は初期微動継続時間、k は定数）で表される。","[""初期微動継続時間"",""大森公式"",""震源距離""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","日本列島のような海溝沿いの地域において、地震の震源は海溝側から大陸側へ向かって深くなるように帯状に分布している。この深発地震が分布する面を何というか。","[""和達・ベニオフ面"",""モホロビチッチ不連続面"",""グーテンベルク不連続面"",""レーマン不連続面""]","0","沈み込む海洋プレートの上面付近では岩石の破壊が起こりやすく、多くの地震が発生する。この地震の震源が傾斜して分布する面を和達・ベニオフ面（深発地震面）と呼ぶ。","[""深発地震"",""和達・ベニオフ面"",""沈み込み帯""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","日本の気象庁が定めている現在の震度階級は、全部で何段階に分けられているか。","[""10段階"",""7段階"",""8段階"",""12段階""]","0","気象庁震度階級は、震度 0、1、2、3、4、5弱、5強、6弱、6強、7 の計 10段階 で表される。地震による各地点の揺れの強さを示す指標である。","[""震度階級"",""地震の揺れ"",""気象庁""]","seed","kept"
"earth_base","earth_base_01","地球のすがた","csat","地球内部でマグマが発生する主な場所として、適当でないものはどれか。","[""大陸の平野の地下浅部"",""海嶺の下"",""沈み込み帯（島弧）の下"",""ホットスポットの下""]","0","マグマはマントルの一部が融解して生じる。主に、プレートが遠ざかる海嶺の下、海洋プレートが沈み込む島弧や陸弧の下、およびマントル深部から高温物質が上昇するホットスポットの下で発生する。安定した大陸の平野の地下浅部では通常マグマは発生しない。","[""マグマの発生"",""海嶺"",""沈み込み帯"",""ホットスポット""]","seed","kept"
